Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.856734	0.966549	
1	0.986696	0.846924	0.87869	
0.572212	0.970108	0.829472	0.778642	
0.379453	0.905871	0.854721	0.753757	
1	1	0.765538	0.962037	
1	0.99299	0.759004	0.850523	
0.61467	0.944748	0.725137	0.718386	
0.468501	0.867368	0.741163	0.687248	
1	1	0.549466	0.961815	
1	0.991533	0.614018	0.844682	
0.634498	0.923961	0.576988	0.66846	
0.49562	0.798921	0.583295	0.638612	
1	1	0.40124	0.954936	
1	0.990797	0.426149	0.838903	
0.662208	0.885491	0.409201	0.669021	
0.511492	0.761295	0.413264	0.601414	
1	1	0.238065	0.942337	
1	0.998056	0.253963	0.83758	
0.679264	0.862425	0.264623	0.681268	
0.549404	0.688397	0.261845	0.587301	
1	1	0.135733	0.934714	
1	0.999766	0.146796	0.826708	
0.697561	0.848646	0.130394	0.692247	
0.573442	0.635917	0.139113	0.598433	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	8092.2	7065	8624.96	
11565.5	7859.08	7070.44	9540.67	
11605.8	7457.63	7044.23	9040.86	
11605.8	7397.34	7024.66	8469.89	
8857.03	8255.53	7217.24	8703.37	
11555.5	8372.01	7205.32	9971.85	
11605.8	7950.75	7239.52	10183.6	
11605.8	7740.59	7211.06	9389.49	
8843.36	8566.63	7337.85	8782.52	
11547.4	8918.32	7329.01	10340.5	
11605.8	8626.97	7332.99	10725.6	
11605.8	8187.07	7306.44	10082.9	
8831.01	8681.25	7379.71	8756.64	
11530.8	9349.68	7369.78	10507.5	
11605.8	9147.54	7380.87	11082.2	
11605.8	8617.7	7368.09	10606	
8823.99	8819.46	7403.18	8732.49	
11514.7	10255.6	7400.91	10629.3	
11605.8	9796.37	7399.41	11341	
11605.8	9213.23	7398.91	11104.1	
8817.24	8817.24	7403.7	8707.24	
11498.4	10885	7403.7	10622.1	
11605.8	10486.7	7403.69	11426.2	
11605.8	9725.19	7403.51	11396.6	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	591384	927269	601654	
1572260	1043691	973576	825916	
924350	1306834	1064018	870485	
655820	1377300	1269204	1034822	
720325	699319	1340378	740245	
1907115	1341161	1305496	1018357	
1337140	1770058	1377184	1052128	
1019105	1813836	1484030	1210230	
827680	810544	1443299	899574	
2283330	1680614	1621717	1179756	
1686265	2224211	1553682	1185455	
1373665	2139830	1512448	1339130	
929335	914706	1337452	1020945	
2611130	1970515	1380070	1316510	
2118220	2594505	1390516	1348819	
1757210	2506656	1342215	1469202	
1137430	1136950	1031312	1339637	
3270590	2700022	1096567	1701571	
2709295	3266079	1164159	1695408	
2496320	2997218	1197511	1805949	
1331760	1331760	709622	1553834	
3844355	3450272	778772	2100989	
3143315	3756283	733490	2030053	
2981595	3265732	744610	2117038	


CloudEng
NOFLD	myOFLD	AOFLDC	SeGW
0	72330	307920	23956	
0	388228	596487	203246	
0	789808	882975	522339	
0	1065444	1165919	898420	
0	34352	302315	11794	
0	309340	586661	132976	
0	701168	860652	312652	
0	993364	1122138	690607	
0	5832	287389	0	
0	231851	555547	71925	
0	564151	811322	189152	
0	878927	1054257	485944	
0	1030	269317	0	
0	162619	512830	40075	
0	488608	742719	109406	
0	768844	964071	317896	
0	0	241643	0	
0	49404	441956	11518	
0	380033	637515	46809	
0	631359	818623	169004	
0	0	210069	0	
0	13487	376721	1619	
0	240616	533530	29403	
0	507229	693194	66920	


FogEng
NOFLD	myOFLD	AOFLDC	SeGW
7825	8274	7825	7825	
7825	9090	7825	7825	
7825	8391	7825	7825	
7825	8142	7825	7825	
7825	8533	7825	7825	
7825	9381	7825	7825	
7825	9173	7825	7825	
7825	8800	7825	7825	
7825	8314	7825	7825	
7825	9573	7825	7825	
7825	9916	7825	7825	
7825	9302	7825	7825	
7825	8123	7825	7825	
7825	9767	7825	7825	
7825	9848	7825	7825	
7825	9777	7825	7825	
7825	7834	7825	7825	
7825	9675	7825	7825	
7825	9896	7825	7825	
7825	10267	7825	7825	
7825	7825	7825	7825	
7825	8892	7825	7825	
7825	9886	7825	7825	
7825	10129	7825	7825	


